2026-04-01 04:23:18 status unpacked linux-headers-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status half-configured linux-headers-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status installed linux-headers-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 configure linux-tools-common:all 6.8.0-107.107 <none>
2026-04-01 04:23:18 status unpacked linux-tools-common:all 6.8.0-107.107
2026-04-01 04:23:18 status half-configured linux-tools-common:all 6.8.0-107.107
2026-04-01 04:23:18 status installed linux-tools-common:all 6.8.0-107.107
2026-04-01 04:23:18 configure linux-image-generic:amd64 6.8.0-107.107 <none>
2026-04-01 04:23:18 status unpacked linux-image-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status half-configured linux-image-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status installed linux-image-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 configure linux-headers-generic:amd64 6.8.0-107.107 <none>
2026-04-01 04:23:18 status unpacked linux-headers-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status half-configured linux-headers-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status installed linux-headers-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 configure linux-tools-6.8.0-107:amd64 6.8.0-107.107 <none>
2026-04-01 04:23:18 status unpacked linux-tools-6.8.0-107:amd64 6.8.0-107.107
2026-04-01 04:23:18 status half-configured linux-tools-6.8.0-107:amd64 6.8.0-107.107
2026-04-01 04:23:18 status installed linux-tools-6.8.0-107:amd64 6.8.0-107.107
2026-04-01 04:23:18 configure linux-generic:amd64 6.8.0-107.107 <none>
2026-04-01 04:23:18 status unpacked linux-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status half-configured linux-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status installed linux-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 configure linux-tools-6.8.0-107-generic:amd64 6.8.0-107.107 <none>
2026-04-01 04:23:18 status unpacked linux-tools-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status half-configured linux-tools-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 status installed linux-tools-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:18 trigproc man-db:amd64 2.12.0-4build2 <none>
2026-04-01 04:23:18 status half-configured man-db:amd64 2.12.0-4build2
2026-04-01 04:23:19 status installed man-db:amd64 2.12.0-4build2
2026-04-01 04:23:19 trigproc linux-image-6.8.0-107-generic:amd64 6.8.0-107.107 <none>
2026-04-01 04:23:19 status half-configured linux-image-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 04:23:31 status installed linux-image-6.8.0-107-generic:amd64 6.8.0-107.107
2026-04-01 14:17:09 startup archives unpack
2026-04-01 14:17:11 upgrade tzdata:all 2025b-0ubuntu0.24.04.1 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:11 status half-configured tzdata:all 2025b-0ubuntu0.24.04.1
2026-04-01 14:17:11 status unpacked tzdata:all 2025b-0ubuntu0.24.04.1
2026-04-01 14:17:11 status half-installed tzdata:all 2025b-0ubuntu0.24.04.1
2026-04-01 14:17:11 status unpacked tzdata:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:11 upgrade tzdata-legacy:all 2025b-0ubuntu0.24.04.1 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:11 status half-configured tzdata-legacy:all 2025b-0ubuntu0.24.04.1
2026-04-01 14:17:11 status unpacked tzdata-legacy:all 2025b-0ubuntu0.24.04.1
2026-04-01 14:17:11 status half-installed tzdata-legacy:all 2025b-0ubuntu0.24.04.1
2026-04-01 14:17:11 status unpacked tzdata-legacy:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:12 upgrade code:amd64 1.113.0-1774364744 1.114.0-1775036290
2026-04-01 14:17:12 status half-configured code:amd64 1.113.0-1774364744
2026-04-01 14:17:12 status unpacked code:amd64 1.113.0-1774364744
2026-04-01 14:17:12 status half-installed code:amd64 1.113.0-1774364744
2026-04-01 14:17:12 status triggers-pending mailcap:all 3.70+nmu1ubuntu1
2026-04-01 14:17:12 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-04-01 14:17:12 status triggers-pending mate-menus:all 1.26.1+mint1
2026-04-01 14:17:12 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2026-04-01 14:17:14 status triggers-pending shared-mime-info:amd64 2.4-4
2026-04-01 14:17:18 status unpacked code:amd64 1.114.0-1775036290
2026-04-01 14:17:18 startup packages configure
2026-04-01 14:17:18 configure code:amd64 1.114.0-1775036290 <none>
2026-04-01 14:17:18 status unpacked code:amd64 1.114.0-1775036290
2026-04-01 14:17:18 status half-configured code:amd64 1.114.0-1775036290
2026-04-01 14:17:22 status installed code:amd64 1.114.0-1775036290
2026-04-01 14:17:22 configure tzdata:all 2026a-0ubuntu0.24.04.1 <none>
2026-04-01 14:17:22 status unpacked tzdata:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:22 status half-configured tzdata:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:22 status installed tzdata:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:22 configure tzdata-legacy:all 2026a-0ubuntu0.24.04.1 <none>
2026-04-01 14:17:22 status unpacked tzdata-legacy:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:22 status half-configured tzdata-legacy:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:22 status installed tzdata-legacy:all 2026a-0ubuntu0.24.04.1
2026-04-01 14:17:22 trigproc mailcap:all 3.70+nmu1ubuntu1 <none>
2026-04-01 14:17:22 status half-configured mailcap:all 3.70+nmu1ubuntu1
2026-04-01 14:17:23 status installed mailcap:all 3.70+nmu1ubuntu1
2026-04-01 14:17:23 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2026-04-01 14:17:23 status half-configured desktop-file-utils:amd64 0.27-2build1
2026-04-01 14:17:23 status installed desktop-file-utils:amd64 0.27-2build1
2026-04-01 14:17:23 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-04-01 14:17:23 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-04-01 14:17:23 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-04-01 14:17:23 trigproc mate-menus:all 1.26.1+mint1 <none>
2026-04-01 14:17:23 status half-configured mate-menus:all 1.26.1+mint1
2026-04-01 14:17:23 status installed mate-menus:all 1.26.1+mint1
2026-04-01 14:17:23 trigproc shared-mime-info:amd64 2.4-4 <none>
2026-04-01 14:17:23 status half-configured shared-mime-info:amd64 2.4-4
2026-04-01 14:17:24 status installed shared-mime-info:amd64 2.4-4
2026-04-02 10:41:24 startup archives unpack
2026-04-02 10:41:25 upgrade lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2build3 02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
2026-04-02 10:41:25 status half-configured lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2build3
2026-04-02 10:41:25 status unpacked lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2build3
2026-04-02 10:41:25 status half-installed lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2build3
2026-04-02 10:41:25 status triggers-pending man-db:amd64 2.12.0-4build2
2026-04-02 10:41:25 status unpacked lshw:amd64 02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1
2026-04-02 10:41:25 upgrade libfwupd2:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1 1.9.34-0ubuntu1~24.04.1
2026-04-02 10:41:25 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.7
2026-04-02 10:41:25 status half-configured libfwupd2:amd64 1.9.33-0ubuntu1~24.04.1ubuntu1
